epoch,train_mse,train_success_rate,train_cumulative_reward,val_mse,val_success_rate,val_cumulative_reward
1,0.12411291504071818,0.1232638888888889,-0.2091647038857142,0.01672638114541769,0.7926485538482666,-0.09093453362584114
2,0.017508320199946564,0.59375,-0.09644386172294617,0.00992056867107749,0.9039446711540222,-0.05986430309712887
3,0.014389689701298872,0.6892361111111112,-0.08602208147446315,0.008272690698504448,0.9203381240367889,-0.05024529993534088
4,0.013146716946115097,0.734375,-0.08149316658576329,0.0081316027790308,0.9519723355770111,-0.05467216670513153
5,0.01195584542842375,0.7847222222222222,-0.07692124818762143,0.007692509796470404,0.9203381240367889,-0.051503878086805344
6,0.01145490657331215,0.8159722222222222,-0.07473872808946504,0.006978289689868689,0.9437756240367889,-0.04917584918439388
7,0.010488677847509583,0.8532986111111112,-0.07146179779536194,0.0063208050560206175,0.9597848355770111,-0.04753142595291138
8,0.009967339742514823,0.8871527777777778,-0.06855645858579212,0.0068876720033586025,0.9515881240367889,-0.04848531261086464
9,0.00953566903869311,0.9140625,-0.06673897720045513,0.005609622923657298,1.0,-0.044471316039562225
10,0.009208736035765873,0.9236111111111112,-0.06556254376967748,0.005838972283527255,1.0,-0.047861989587545395
11,0.008336221825124489,0.9522569444444444,-0.06115038548078802,0.007052102126181126,1.0,-0.04986991547048092
12,0.008148671464166708,0.96875,-0.059831571868724294,0.004920351784676313,0.9918032884597778,-0.04117937386035919
13,0.0072915684431791306,0.9800347222222222,-0.05616997410025862,0.004869013326242566,0.9918032884597778,-0.03744092211127281
14,0.007224636178256737,0.9748263888888888,-0.055560496946175895,0.004332944401539862,0.9918032884597778,-0.03305854555219412
15,0.006662575010624196,0.9869791666666666,-0.05247616685099072,0.00430599763058126,1.0,-0.033245040103793144
16,0.006744131808065706,0.9887152777777778,-0.05289372677604357,0.004460343858227134,0.9918032884597778,-0.03460688516497612
